Name;Dataset;Type of experiment;K;Testing type;STATUS;ACCURACY-oneshot;Model
XGBOOST-D1_1-A3(10)-B;D1_1;A3;10;B ;DONE;0.754;XGBoost
XGBOOST-D1_2-A3(10)-B;D1_2;A3;10;B ;DONE;0.762;XGBoost
XGBOOST-D0_1-A2(15)-B;D0_1;A2;15;B ;DONE;0.648;XGBoost
XGBOOST-D0_2-A2(15)-B;D0_2;A2;15;B ;DONE;0.703;XGBoost
XGBOOST-D0_2-A3(15)-B;D0_2;A3;15;B ;DONE;0.758;XGBoost
XGBOOST-D0_1-A3(15)-B;D0_1;A3;15;B ;DONE;0.781;XGBoost
XGBOOST-D1_1-A2(30)-B;D1_1;A2;30;B ;DONE;0.656;XGBoost
XGBOOST-D1_2-A2(30)-B;D1_2;A2;30;B ;DONE;0.676;XGBoost
XGBOOST-D1_1-A3(30)-B;D1_1;A3;30;B ;DONE;0.832;XGBoost
XGBOOST-D1_2-A3(30)-B;D1_2;A3;30;B ;DONE;0.836;XGBoost
XGBOOST-D1_2-A2(50)-B;D1_2;A2;50;B ;DONE;0.684;XGBoost
XGBOOST-D1_1-A2(50)-B;D1_1;A2;50;B ;DONE;0.691;XGBoost
XGBOOST-D1_1-A3(50)-B;D1_1;A3;50;B ;DONE;0.82;XGBoost
XGBOOST-D1_2-A3(50)-B;D1_2;A3;50;B ;DONE;0.844;XGBoost
XGBOOST-D1_1-A2(70)-B;D1_1;A2;70;B ;DONE;0.754;XGBoost
XGBOOST-D1_2-A2(70)-B;D1_2;A2;70;B ;DONE;0.781;XGBoost
XGBOOST-D1_1-A3(70)-B;D1_1;A3;70;B ;DONE;0.797;XGBoost
XGBOOST-D1_2-A3(70)-B;D1_2;A3;70;B ;DONE;0.836;XGBoost
XGBOOST-D0_1-A1-B;D0_1;A1;;B ;DONE;0.703;XGBoost
XGBOOST-D0_2-A1-B;D0_2;A1;;B ;DONE;0.711;XGBoost
XGBOOST-D1_1-A1-B;D1_1;A1;;B ;DONE;0.781;XGBoost
XGBOOST-D1_2-A1-B;D1_2;A1;;B ;DONE;0.785;XGBoost
